,Epithelial,Fibroblast,Pericyte,Endothelial,CD4T,Macrophage,B,CD8T,DC,NK,Plasma,NKT,Mast,Monocyte
1408,KHK,WDPCP,TMEM185B,SNRPG,RPL32,PROM2,ZNF445,C3orf38,TMEM87B,ARHGEF3,CLK1,RASSF1,TWF2,RBSN
1409,CGREF1,MDH1,RALB,FAM136A,IQSEC1,FAHD2A,KIAA1143,MTRNR2L12,ZC3H8,APPL1,PPIL3,NPRL2,PPM1M,CAPN7
1410,ABHD1,UGP2,GLI2,TGFA,NUP210,ANKRD36C,TMEM42,CLDND1,ZC3H6,PDE12,NIF3L1,CYB561D2,WDR82,SH3BP5
1411,PREB,VPS54,CLASP1,ADD2,TMEM43,DUSP2,ZDHHC3,CMSS1,TTL,ARF4,ORC2,HEMK1,NISCH,EAF1
1412,SLC5A6,PELI1,NIFK-AS1,TEX261,XPC,STARD7,EXOSC7,TBC1D23,CHCHD5,DENND6A,FAM126B,CISH,STAB1,BTD
1413,ATRAID,LGALSL,NIFK,NAGK,LSM3,TMEM127,LIMD1,NIT2,AC079922.2,SLMAP,NDUFB3,MAPKAPK3,NT5DC2,ANKRD28
1414,CAD,AFTPH,TSN,MCEE,SLC6A6,CIAO1,SACM1L,TOMM70,SLC20A1,PXK,CFLAR,MANF,SMIM4,DPH3
1415,UCN,SERTAD2,GYPC,MPHOSPH10,CCDC174,SNRNP200,CCDC12,TFG,IL1A,PDHB,CFLAR-AS1,DCAF1,PBRM1,RFTN1
1416,MPV17,SLC1A4,BIN1,ZNF638,FGD5-AS1,NEURL3,NBEAL2,SENP7,IL1B,C3orf14,CASP10,RAD54L2,GNL3,PLCL2
1417,GTF3C2,CEP68,ERCC3,DYSF,NR2C2,ARID5A,SETD2,TRMT10C,IL1RN,THOC7,CASP8,TEX264,SPCS1,TBC1D5
1418,AC074117.1,RAB1A,MAP3K2,CYP26B1,MRPS25,KANSL3,KLHL18,PCNP,PSD4,PSMD6,TRAK2,PCBP4,SFMBT1,SATB1
1419,EIF2B4,ACTR2,IWS1,EXOC6B,RBSN,LMAN2L,PTPN23,ZBTB11,CBWD2,SLC25A26,SUMO1,ABHD14B,PRKCD,RAB5A
1420,SNX17,SPRED2,LIMS2,SPR,CAPN7,CNNM4,ELP6,RPL24,RABL2A,SUCLG2,NOP58,ABHD14A,TKT,KAT2B
1421,ZNF513,MEIS1,WDR33,SFXN5,SH3BP5,CNNM3,SMARCC1,NXPE3,SLC35F5,TMF1,BMPR2,RPL29,DCP1A,UBE2E2
1422,PPM1G,ETAA1,POLR2D,RAB11FIP5,EAF1,ANKRD39,DHX30,NFKBIZ,ACTR3,UBA3,WDR12,TWF2,CHDH,UBE2E1
1423,NRBP1,C1D,AMMECR1L,SMYD5,HACL1,SEMA4C,MAP4,CBLB,DDX18,ARL6IP5,NBEAL1,PPM1M,ACTR8,NKIRAS1
1424,KRTCAP3,WDR92,AC012306.2,PRADC1,BTD,ANKRD36,ZNF589,BBX,AC009404.1,FRMD4B,CYP20A1,WDR82,SELENOK,RPL15
1425,IFT172,PNO1,SAP130,CCT7,ANKRD28,AC092683.1,NME6,CD47,CCDC93,FOXP1,ABI2,NISCH,CCDC66,NR1D2
1426,FNDC4,PPP3R1,UGGT1,ALMS1,DPH3,ANKRD36B,TMA7,IFT57,INSIG2,EIF4E3,CD28,SMIM4,FAM208A,TOP2B
1427,ZNF512,CNRIP1,HS6ST1,TPRKB,OXNAD1,COX5B,SHISA5,DZIP3,STEAP3,RYBP,CTLA4,PBRM1,APPL1,NGLY1
1428,CCDC121,FBXO48,SMPD4,DUSP11,RFTN1,ACTR1B,UQCRC1,TRAT1,C2orf76,PPP4R2,ICOS,GNL3,PDE12,NEK10
1429,GPN1,ANTXR1,MZT2B,STAMBP,PLCL2,TMEM131,IP6K2,NECTIN3,DBI,GBE1,NRP2,GLT8D1,ARF4,SLC4A7
1430,SUPT7L,GFPT1,CCDC115,ACTG2,TBC1D5,INPP4A,PRKAR2A,CD96,PTPN4,CHMP2B,INO80D,SPCS1,DENND6A,CMC1
1431,SLC4A1AP,NFU1,IMP4,DGUOK,SATB1,COA5,ARIH2,PLCXD2,TMEM185B,CGGBP1,NDUFS1,SFMBT1,SLMAP,AZI2
1432,MRPL33,AAK1,PTPN18,TET3,RAB5A,UNC50,P4HTM,ATG3,RALB,ZNF654,EEF1B2,TKT,FLNB,TGFBR2
1433,RBKS,ANXA4,FAM168B,BOLA3,KAT2B,MGAT4A,WDR6,CD200R1,CLASP1,C3orf38,ZDBF2,DCP1A,ABHD6,STT3B
1434,BABAM2,GMCL1,PLEKHB2,BOLA3-AS1,UBE2E1,AC109826.1,DALRD3,GTPBP8,NIFK-AS1,NSUN3,FASTKD2,SELENOK,PXK,CMTM7
1435,FOSL2,SNRNP27,MZT2A,MOB1A,RPL15,KIAA1211L,NDUFAF3,NEPRO,NIFK,MTRNR2L12,KLF7,CCDC66,PDHB,CMTM6
1436,PPP1CB,MXD1,LYPD1,MTHFD2,NR1D2,LIPT1,IMPDH2,SIDT1,TSN,CLDND1,CREB1,FAM208A,FHIT,DYNC1LI1
1437,TRMT61B,PCBP1,NCKAP5,DCTN1,TOP2B,MITD1,QRICH1,USF3,GYPC,CMSS1,METTL21A,ARHGEF3,C3orf14,CNOT10
1438,WDR43,C2orf42,MGAT5,WDR54,NGLY1,MRPL30,QARS,NAA50,BIN1,TBC1D23,CCNYL1,APPL1,CADPS,GLB1
1439,CLIP4,TIA1,CCNT2,RTKN,SLC4A7,TXNDC9,USP4,ATP6V1A,ERCC3,NIT2,IDH1,PDE12,THOC7,CRTAP
1440,YPEL5,PCYOX1,RAB3GAP1,INO80B,EOMES,EIF5B,RHOA,AC093010.2,MAP3K2,TOMM70,PIKFYVE,ARF4,PSMD6,UBP1
1441,LBH,SNRPG,R3HDM1,MOGS,CMC1,REV1,TCTA,ZNF80,PROC,TFG,RPE,SLMAP,SLC25A26,CLASP2
1442,LCLAT1,FAM136A,UBXN4,MRPL53,AZI2,AFF3,APEH,TIGIT,IWS1,SENP7,KANSL1L,PXK,SUCLG2,PDCD6IP
1443,CAPN13,TEX261,MCM6,CCDC142,TGFBR2,PDCL3,GMPPB,ZBTB20,WDR33,TRMT10C,BARD1,PDHB,TMF1,EPM2AIP1
1444,GALNT14,NAGK,DARS,TTC31,STT3B,RPL31,IP6K1,B4GALT4,SFT2D3,PCNP,ATIC,C3orf14,UBA3,MLH1
