B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	NK	NKT	Pericyte	Plasma
NA	NA	NA	NA	GOSR1	MICAL2	TLE4	H3F3B	NA	NA	NA	ATP2B4	NA
NA	NA	NA	NA	RRP7A	MICAL3	TLNRD1	GABPB1	NA	NA	NA	NUFIP2	NA
NA	NA	NA	NA	C1orf52	MIDN	TMA7	NDUFC2	NA	NA	NA	DDX6	NA
NA	NA	NA	NA	TMEM14A	MIEN1	TMBIM6	CIRBP	NA	NA	NA	ARHGEF12	NA
NA	NA	NA	NA	MMP1	MIF	TMED10	TFE3	NA	NA	NA	YPEL5	NA
NA	NA	NA	NA	RASA4	MINCR	TMED2	RIOK3	NA	NA	NA	HBEGF	NA
NA	NA	NA	NA	LTBP4	MINOS1	TMED5	DMAC1	NA	NA	NA	EPC1	NA
NA	NA	NA	NA	HLA-DPA1	MIR200CHG	TMED9	MAN1A1	NA	NA	NA	PYURF	NA
NA	NA	NA	NA	CARS	MIR222HG	TMEM165	FAU	NA	NA	NA	B4GALT3	NA
NA	NA	NA	NA	CPNE2	MIR22HG	TMEM219	CUTA	NA	NA	NA	PNKD	NA
NA	NA	NA	NA	ASRGL1	MIR4435-2HG	TMEM258	TROVE2	NA	NA	NA	RELA	NA
NA	NA	NA	NA	ARPC5	MKNK2	TMEM38B	DAB2	NA	NA	NA	ITGA3	NA
NA	NA	NA	NA	DAZAP1	MKRN1	TMEM45A	NR4A2	NA	NA	NA	YWHAH	NA
NA	NA	NA	NA	PINK1	MLPH	TMEM70	GTF2H1	NA	NA	NA	ARHGAP29	NA
NA	NA	NA	NA	ABCD4	MLST8	TMSB10	ATF6	NA	NA	NA	NDUFA3	NA
NA	NA	NA	NA	RPL31	MLXIP	TMSB4X	XRCC6	NA	NA	NA	DAZAP2	NA
NA	NA	NA	NA	MYO1C	MMAB	TNFAIP2	JOSD1	NA	NA	NA	YME1L1	NA
NA	NA	NA	NA	DPM1	MMADHC	TNFAIP3	HSPA5	NA	NA	NA	CDC37L1	NA
NA	NA	NA	NA	ZNF281	MMP24OS	TNFAIP6	ADAM9	NA	NA	NA	UBE2K	NA
NA	NA	NA	NA	RBP4	MMP3	TNFAIP8	TOR1AIP2	NA	NA	NA	TMEM256	NA
NA	NA	NA	NA	LGALS1	MMP7	TNFRSF10B	NHP2	NA	NA	NA	UBE2D1	NA
NA	NA	NA	NA	CHD9	MOB1A	TNFRSF12A	RAPGEF2	NA	NA	NA	C1orf56	NA
NA	NA	NA	NA	INHBB	MORF4L1	TOMM20	PRMT9	NA	NA	NA	LTV1	NA
NA	NA	NA	NA	TRAPPC1	MORN2	TOMM22	DNAJB11	NA	NA	NA	FKBP1A	NA
NA	NA	NA	NA	SLC12A2	MOSPD3	TOMM40	TFF3	NA	NA	NA	CAMLG	NA
NA	NA	NA	NA	JUP	MPC2	TOMM5	OGT	NA	NA	NA	C12orf75	NA
NA	NA	NA	NA	PMEPA1	MPG	TOMM7	CEBPD	NA	NA	NA	TNFAIP6	NA
NA	NA	NA	NA	MYDGF	MPHOSPH10	TOP1	SERTAD1	NA	NA	NA	MYO1B	NA
NA	NA	NA	NA	CNRIP1	MPRIP	TP53BP2	DNAAF1	NA	NA	NA	TIMM17A	NA
NA	NA	NA	NA	RALBP1	MPZL1	TP53RK	YWHAQ	NA	NA	NA	ENAH	NA
NA	NA	NA	NA	KNOP1	MPZL2	TPM1	BLOC1S2	NA	NA	NA	MBNL1	NA
NA	NA	NA	NA	PPAN	MRPL23	TPM2	APBB1IP	NA	NA	NA	PER1	NA
NA	NA	NA	NA	RBBP6	MRPL24	TPT1	MZT2A	NA	NA	NA	ISCA1	NA
NA	NA	NA	NA	ATP6V1D	MRPL3	TRA2B	AFF1	NA	NA	NA	RACK1	NA
NA	NA	NA	NA	N4BP2L2	MRPL32	TRAF3	HSPA1A	NA	NA	NA	ATP5MC1	NA
NA	NA	NA	NA	OAZ2	MRPL34	TRAPPC1	RFTN1	NA	NA	NA	AGO2	NA
NA	NA	NA	NA	UBAP1	MRPL4	TRIB1	ARPC1B	NA	NA	NA	RABGAP1	NA
NA	NA	NA	NA	UPF2	MRPL40	TRIM28	ITSN2	NA	NA	NA	MRPL3	NA
NA	NA	NA	NA	EMG1	MRPL41	TRIM44	PTBP1	NA	NA	NA	VEGFA	NA
NA	NA	NA	NA	BRD2	MRPL43	TRIM47	MMP14	NA	NA	NA	MAX	NA
NA	NA	NA	NA	SPNS2	MRPL47	TRIP10	C6orf106	NA	NA	NA	KHDRBS3	NA
NA	NA	NA	NA	AKAP13	MRPL50	TRIP12	SELPLG	NA	NA	NA	TMEM47	NA
NA	NA	NA	NA	CCNL1	MRPL51	TRIR	SAFB	NA	NA	NA	FNIP2	NA
NA	NA	NA	NA	PHACTR4	MRPL54	TRMT10C	BNIP3L	NA	NA	NA	SIRT1	NA
NA	NA	NA	NA	PHLDA2	MRPL55	TRMT112	PCF11	NA	NA	NA	TAX1BP3	NA
NA	NA	NA	NA	SLCO4A1	MRPL57	TRMT61A	SCAF4	NA	NA	NA	KHDRBS1	NA
NA	NA	NA	NA	TGFBR3	MRPS14	TSC22D2	GGNBP2	NA	NA	NA	NOC3L	NA
NA	NA	NA	NA	SPG7	MRPS16	TSPO	MCTP1	NA	NA	NA	MOB2	NA
NA	NA	NA	NA	RIOK1	MRPS18C	TSR1	COMT	NA	NA	NA	METTL26	NA
NA	NA	NA	NA	MIF	MRPS21	TSSC4	PCGF5	NA	NA	NA	COL12A1	NA
NA	NA	NA	NA	DYNC1I2	MRPS24	TSTD1	LSM5	NA	NA	NA	PIGA	NA
NA	NA	NA	NA	MRPL51	MRPS30	TTC3	RAB32	NA	NA	NA	SRRT	NA
NA	NA	NA	NA	CLK3	MRPS30-DT	TUBA1B	RALA	NA	NA	NA	S100A13	NA
NA	NA	NA	NA	EMC3	MRPS33	TUBA1C	CCDC82	NA	NA	NA	RALBP1	NA
NA	NA	NA	NA	BPTF	MRPS34	TUBB2A	WIPI1	NA	NA	NA	NDUFS4	NA
NA	NA	NA	NA	ERRFI1	MRTO4	TUBB2B	HSPA4	NA	NA	NA	FKBP8	NA
NA	NA	NA	NA	PLD3	MS4A7	TUBB4B	FBXO30	NA	NA	NA	LY6K	NA
NA	NA	NA	NA	TNFRSF10B	MSI2	TUBB6	NDUFA2	NA	NA	NA	KRT17	NA
NA	NA	NA	NA	PHF14	MSMO1	TWIST2	IFI35	NA	NA	NA	AIFM2	NA
NA	NA	NA	NA	PREX1	MSN	TXLNG	SBNO1	NA	NA	NA	AKIRIN1	NA
NA	NA	NA	NA	SNHG8	MSRB2	TXN	ARF6	NA	NA	NA	CUL1	NA
NA	NA	NA	NA	MAST4	MSRB3	TXNL1	EIF4B	NA	NA	NA	SLC25A19	NA
NA	NA	NA	NA	PHACTR2	MT-ATP8	TXNRD1	LUC7L	NA	NA	NA	MRPL57	NA
NA	NA	NA	NA	UBE2D1	MT-CO1	TYMP	TMBIM4	NA	NA	NA	MT-ND5	NA
NA	NA	NA	NA	NASP	MT-CO2	U2AF2	CEP170	NA	NA	NA	NARS	NA
NA	NA	NA	NA	POLR2J	MT-CO3	U2SURP	RAD23A	NA	NA	NA	C1QTNF1	NA
NA	NA	NA	NA	LAMTOR1	MT-CYB	UAP1	TARS	NA	NA	NA	MIF	NA
NA	NA	NA	NA	DCP1A	MT-ND1	UBA2	ZNF800	NA	NA	NA	HSPA1A	NA
NA	NA	NA	NA	PRMT2	MT-ND4	UBAP1	FAM3C	NA	NA	NA	TOR1AIP1	NA
NA	NA	NA	NA	CRYAB	MT-ND4L	UBB	PSMA3-AS1	NA	NA	NA	CIB1	NA
NA	NA	NA	NA	DYSF	MT-ND5	UBC	IWS1	NA	NA	NA	ALKBH5	NA
NA	NA	NA	NA	GPX3	MT-ND6	UBE2A	GTF2H5	NA	NA	NA	ANKRD37	NA
NA	NA	NA	NA	SAP30BP	MT1A	UBE2B	NXT2	NA	NA	NA	VPS37B	NA
NA	NA	NA	NA	RPL22L1	MT1E	UBE2D1	MIR222HG	NA	NA	NA	MPRIP	NA
NA	NA	NA	NA	MAFK	MT1M	UBE2D2	ALG2	NA	NA	NA	NUP98	NA
NA	NA	NA	NA	PSMA3-AS1	MT1X	UBE2D3	ZNHIT1	NA	NA	NA	LAMP1	NA
NA	NA	NA	NA	PPIA	MT2A	UBE2G2	ALOX5	NA	NA	NA	RALY	NA
NA	NA	NA	NA	TAF13	MTA1	UBE2I	PSEN1	NA	NA	NA	KRR1	NA
NA	NA	NA	NA	SNRNP40	MTERF2	UBE2K	ZNF644	NA	NA	NA	RRP7A	NA
NA	NA	NA	NA	CYBC1	MTHFD1L	UBE2L3	BCL7B	NA	NA	NA	RPS26	NA
NA	NA	NA	NA	NELFE	MTHFD2	UBE2N	SMC5	NA	NA	NA	CTTN	NA
NA	NA	NA	NA	KLF10	MTHFD2L	UBE2S	KIF1B	NA	NA	NA	CBX3	NA
NA	NA	NA	NA	PPP3CA	MTIF3	UBE2Z	MRPL57	NA	NA	NA	FAM129A	NA
NA	NA	NA	NA	PDCD10	MTRF1L	UBE3A	MARK3	NA	NA	NA	BIRC2	NA
NA	NA	NA	NA	ETS2	MTRNR2L12	UBL5	NABP1	NA	NA	NA	SASH1	NA
NA	NA	NA	NA	UBE2E1	MTRNR2L8	UBQLN1	CACYBP	NA	NA	NA	SS18L2	NA
NA	NA	NA	NA	UBE2V2	MTX1	UCK2	SNAP23	NA	NA	NA	RRBP1	NA
NA	NA	NA	NA	CAPN2	MUC1	UFM1	MGAT4A	NA	NA	NA	RYBP	NA
NA	NA	NA	NA	TMEM109	MUM1	UGCG	DDX21	NA	NA	NA	PSMB9	NA
NA	NA	NA	NA	TACC1	MVB12A	UGDH	SLC8A1	NA	NA	NA	ARL8B	NA
NA	NA	NA	NA	TSTD1	MXD1	UPP1	IQGAP2	NA	NA	NA	FNBP4	NA
NA	NA	NA	NA	HIGD2A	MXD4	UQCR10	MTDH	NA	NA	NA	EZR	NA
NA	NA	NA	NA	MAP4K5	MYB	UQCR11	GLO1	NA	NA	NA	ADK	NA
NA	NA	NA	NA	DCUN1D5	MYC	UQCRB	NCF1	NA	NA	NA	ANTXR1	NA
NA	NA	NA	NA	NARS	MYH9	UQCRFS1	HECA	NA	NA	NA	IDH3A	NA
NA	NA	NA	NA	TRAPPC4	MYL12A	UQCRQ	CCDC85B	NA	NA	NA	MOB4	NA
NA	NA	NA	NA	ID3	MYL12B	USP10	PSMB8	NA	NA	NA	GOLIM4	NA
NA	NA	NA	NA	ARL8B	MYL6	USP12	ATP5F1D	NA	NA	NA	SLC19A2	NA
NA	NA	NA	NA	PPP2R1B	MYL6B	USP36	TMEM147	NA	NA	NA	MECP2	NA
NA	NA	NA	NA	TANC1	MYL9	USP47	SLC40A1	NA	NA	NA	TMEM160	NA
NA	NA	NA	NA	RASIP1	MYLK	USP7	TFRC	NA	NA	NA	HSPA1B	NA
NA	NA	NA	NA	SLC39A6	MYO1B	UTP11	DPYSL2	NA	NA	NA	MPHOSPH10	NA
NA	NA	NA	NA	EID3	MYO1E	UTP18	SF3B5	NA	NA	NA	ABCF2.1	NA
NA	NA	NA	NA	OAF	MYO5B	UTP3	RHOB	NA	NA	NA	TAF4B	NA
NA	NA	NA	NA	DNAJB11	MYOF	UTP4	G6PD	NA	NA	NA	NXF1	NA
NA	NA	NA	NA	STMN1	MZT2A	UTP6	COPB1	NA	NA	NA	SNRPA1	NA
NA	NA	NA	NA	MARCH3	MZT2B	VAMP5	C19orf53	NA	NA	NA	SF3A3	NA
NA	NA	NA	NA	RCN1	NAA15	VAMP8	UBE2L3	NA	NA	NA	CCK	NA
NA	NA	NA	NA	UQCRFS1	NAA20	VAPA	MRPL40	NA	NA	NA	DNAJB11	NA
NA	NA	NA	NA	MINOS1	NAA25	VASN	TFG	NA	NA	NA	P4HB	NA
NA	NA	NA	NA	DERL2	NAA38	VBP1	LCP1	NA	NA	NA	DCTN3	NA
NA	NA	NA	NA	TNFRSF1A	NAA50	VCAN	CEBPA	NA	NA	NA	STAT1	NA
NA	NA	NA	NA	NRIP1	NABP1	VCP	CD63	NA	NA	NA	PSMD13	NA
NA	NA	NA	NA	TIMP3	NABP2	VDAC1	SERINC2	NA	NA	NA	TFAM	NA
NA	NA	NA	NA	RHOJ	NACA	VDAC2	EPM2AIP1	NA	NA	NA	ANKLE2	NA
NA	NA	NA	NA	TBK1	NAE1	VEGFA	TRAF3	NA	NA	NA	PLEKHB2	NA
NA	NA	NA	NA	POSTN	NAF1	VKORC1	RASAL2	NA	NA	NA	RIPK2	NA
NA	NA	NA	NA	OGA	NAGK	VMP1	IDH2	NA	NA	NA	TMBIM4	NA
NA	NA	NA	NA	EIF4G2	NAMPT	VPS28	CUL3	NA	NA	NA	UBE2V2	NA
NA	NA	NA	NA	C19orf70	NAP1L1	WAC	RPS6	NA	NA	NA	FBLIM1	NA
NA	NA	NA	NA	GNPNAT1	NAPA	WAPL	G3BP2	NA	NA	NA	NME1	NA
NA	NA	NA	NA	CLU	NAPRT	WBP11	TSC22D1	NA	NA	NA	PLSCR1	NA
NA	NA	NA	NA	FBXO11	NARS	WDR3	NDUFS8	NA	NA	NA	IFT57	NA
NA	NA	NA	NA	DSTN	NASP	WDR43	PPP1R10	NA	NA	NA	FOXK2	NA
NA	NA	NA	NA	PPP1R15B	NAT1	WDR46	HTATIP2	NA	NA	NA	AOC3	NA
NA	NA	NA	NA	GTF2F2	NAV2	WDR74	BRI3	NA	NA	NA	MTRNR2L1	NA
NA	NA	NA	NA	DRAP1	NAXE	WDR83OS	SLAMF8	NA	NA	NA	PPIL4	NA
NA	NA	NA	NA	OCIAD2	NBDY	WIPI1	WNT5A	NA	NA	NA	USP14	NA
NA	NA	NA	NA	TPM1	NBEAL1	WNT2	UBE2H	NA	NA	NA	MSRB2	NA
NA	NA	NA	NA	CYSTM1	NCK1	WTAP	REEP5	NA	NA	NA	ATP5F1C	NA
NA	NA	NA	NA	STK17A	NCKAP1	WWTR1	ARIH1	NA	NA	NA	PGM3	NA
NA	NA	NA	NA	SRFBP1	NCL	XBP1	EPAS1	NA	NA	NA	CTSB	NA
NA	NA	NA	NA	NAA10	NCOA7	XIST	LAMTOR1	NA	NA	NA	ATRAID	NA
NA	NA	NA	NA	FLOT1	NDFIP2	XRCC5	UBE3A	NA	NA	NA	RLF	NA
NA	NA	NA	NA	CKS2	NDUFA1	XRCC6	PRMT1	NA	NA	NA	GAR1	NA
NA	NA	NA	NA	SNHG12	NDUFA11	XRN2	EMP2	NA	NA	NA	AP1S2	NA
NA	NA	NA	NA	PVR	NDUFA13	YARS	MED10	NA	NA	NA	PELI1	NA
NA	NA	NA	NA	SNRPA1	NDUFA2	YBX1	TRMT6	NA	NA	NA	SNRNP70	NA
NA	NA	NA	NA	TXNDC9	NDUFA3	YBX3	LILRB4	NA	NA	NA	LBH	NA
NA	NA	NA	NA	MTHFD1L	NDUFA4	YES1	SIVA1	NA	NA	NA	SRFBP1	NA
NA	NA	NA	NA	S100A4	NDUFA7	YME1L1	PDLIM5	NA	NA	NA	BLOC1S2	NA
NA	NA	NA	NA	ELOA	NDUFA8	YPEL5	NDUFA6	NA	NA	NA	NDUFAF2	NA
NA	NA	NA	NA	TLNRD1	NDUFAB1	YTHDC1	FAM214B	NA	NA	NA	ARL6IP5	NA
NA	NA	NA	NA	NDUFAF4	NDUFAF2	YTHDF2	CCND1	NA	NA	NA	IRAK3	NA
NA	NA	NA	NA	RBM28	NDUFAF3	YWHAB	INPP5D	NA	NA	NA	GABPB1-AS1	NA
NA	NA	NA	NA	SCAND1	NDUFAF4	YWHAE	MYH9	NA	NA	NA	CTSS	NA
NA	NA	NA	NA	OCIAD1	NDUFAF6	YWHAG	DRAM2	NA	NA	NA	CDC42EP4	NA
NA	NA	NA	NA	NUDT4	NDUFB1	YWHAQ	SMDT1	NA	NA	NA	ACTR2	NA
NA	NA	NA	NA	LAPTM4B	NDUFB10	YY1	PDZD8	NA	NA	NA	TCERG1	NA
NA	NA	NA	NA	FAM171A1	NDUFB11	ZBTB21	CRIP1	NA	NA	NA	SELENOP	NA
NA	NA	NA	NA	ARHGEF15	NDUFB2	ZBTB43	DNAJA1	NA	NA	NA	BAD	NA
NA	NA	NA	NA	RRN3	NDUFB3	ZC3H12A	TNFRSF21	NA	NA	NA	ZDHHC9	NA
NA	NA	NA	NA	ITGB1	NDUFB4	ZC3H15	EGLN1	NA	NA	NA	USP47	NA
NA	NA	NA	NA	NUP153	NDUFB5	ZDHHC9	NFIL3	NA	NA	NA	LUC7L2	NA
NA	NA	NA	NA	NCOA7	NDUFB7	ZEB2	LCP2	NA	NA	NA	EVA1B	NA
NA	NA	NA	NA	DEGS1	NDUFB9	ZFAND2A	BTG2	NA	NA	NA	ESAM	NA
NA	NA	NA	NA	LARP4	NDUFC1	ZFAND5	SH3BGRL	NA	NA	NA	PARM1	NA
NA	NA	NA	NA	PON2	NDUFC2	ZFAND6	FGD4	NA	NA	NA	AC027031.2	NA
NA	NA	NA	NA	ZC3H13	NDUFS6	ZFAS1	NDUFB9	NA	NA	NA	HMGA1	NA
NA	NA	NA	NA	NBDY	NDUFS7	ZFR	SPG21	NA	NA	NA	WAPL	NA
NA	NA	NA	NA	RSU1	NDUFS8	ZNF207	ATRAID	NA	NA	NA	TSC22D3	NA
NA	NA	NA	NA	TAPBP	NDUFV2	ZNF267	ZNF331	NA	NA	NA	MTIF3	NA
NA	NA	NA	NA	ZNF706	NDUFV3	ZNF593	SCAND1	NA	NA	NA	SERTAD2	NA
NA	NA	NA	NA	CHD7	NEDD4L	ZNF622	VKORC1	NA	NA	NA	PXDN	NA
NA	NA	NA	NA	SLC44A1	NEDD8	ZNF644	CYB5A	NA	NA	NA	MXRA8	NA
NA	NA	NA	NA	RRP1	NEDD9	ZNF800	ARPC4	NA	NA	NA	FOXP1	NA
NA	NA	NA	NA	TMED10	NENF	ZNFX1	MSRB2	NA	NA	NA	PLEC	NA
NA	NA	NA	NA	TRIM56	NES	ZNHIT1	WSB2	NA	NA	NA	FAAP20	NA
NA	NA	NA	NA	DDT	NET1	ZPR1	PER1	NA	NA	NA	H2AFX	NA
NA	NA	NA	NA	POLR1C	NFAT5	EAF1	KBTBD8	NA	NA	NA	FSTL1	NA
NA	NA	NA	NA	RPL4	NFATC3	UBE2R2	LAT2	NA	NA	NA	ARID1B	NA
NA	NA	NA	NA	SHC1	NFE2L2	UGP2	AK6	NA	NA	NA	MRPL41	NA
NA	NA	NA	NA	CTSA	NFIA	AGO3	STRN3	NA	NA	NA	COX20	NA
NA	NA	NA	NA	NBEAL1	NFIB	GOSR1	N4BP2	NA	NA	NA	SYNE2	NA
NA	NA	NA	NA	SSH1	NFIC	HAS2	TCEAL4	NA	NA	NA	ACTG2	NA
NA	NA	NA	NA	GPR146	NFKB1	UBTD2	MRPL55	NA	NA	NA	ZFP36L1	NA
NA	NA	NA	NA	GMFG	NFKB2	EGFLAM	TBCA	NA	NA	NA	MTHFD2L	NA
NA	NA	NA	NA	CHST12	NFKBIA	CAVIN1	SNRPE	NA	NA	NA	CFD	NA
NA	NA	NA	NA	CEMIP2	NFKBIB	DPH2	MBP	NA	NA	NA	POLR2J3.1	NA
NA	NA	NA	NA	EPHA4	NFKBIZ	PTPN2	PSMD1	NA	NA	NA	PPIF	NA
NA	NA	NA	NA	STX4	NGDN	PLEKHM2	LITAF	NA	NA	NA	SDC2	NA
NA	NA	NA	NA	KCMF1	NHLRC3	DNAJC3	THEMIS2	NA	NA	NA	PSMD4	NA
NA	NA	NA	NA	HTRA2	NIFK	FSTL1	UHRF1BP1L	NA	NA	NA	C5orf24	NA
NA	NA	NA	NA	PDK4	NINJ1	WDR45B	HCLS1	NA	NA	NA	TANK	NA
NA	NA	NA	NA	PDIA4	NIP7	CSNK2A1	RNF181	NA	NA	NA	SSNA1	NA
NA	NA	NA	NA	CKAP4	NIPA2	TRAF4	ATP5PD	NA	NA	NA	NFIA	NA
NA	NA	NA	NA	H2AFJ	NIPBL	CLINT1	ADNP2	NA	NA	NA	AP3S1	NA
NA	NA	NA	NA	UPF3A	NME1	OAZ1	RLF	NA	NA	NA	ATP6V1B2	NA
NA	NA	NA	NA	EDC3	NME2	PEAK1	ETFB	NA	NA	NA	TCEAL8	NA
NA	NA	NA	NA	HIPK3	NME3	FGFR1OP2	OTUD4	NA	NA	NA	UTP18	NA
NA	NA	NA	NA	EFNB1	NME4	PRDM1	DUSP6	NA	NA	NA	CCL8	NA
NA	NA	NA	NA	DGKH	NMRAL1	OLFML3	CHMP1B	NA	NA	NA	ANXA1	NA
NA	NA	NA	NA	ERP29	NNMT	MAX	EID1	NA	NA	NA	TP53RK	NA
NA	NA	NA	NA	JUNB	NOB1	NT5C3A	RASGEF1B	NA	NA	NA	RGS6	NA
NA	NA	NA	NA	MPHOSPH8	NOC2L	TRAPPC4	HSPA6	NA	NA	NA	PGLS	NA
NA	NA	NA	NA	MRPL57	NOC3L	PSME1	PET100	NA	NA	NA	ADPRHL1	NA
NA	NA	NA	NA	STOML2	NOL10	VPS26A	AP1B1	NA	NA	NA	MEAF6	NA
NA	NA	NA	NA	CD109	NOL11	LUC7L2	RBM15B	NA	NA	NA	MRPL43	NA
NA	NA	NA	NA	ANXA7	NOL3	SLK	SEC61G	NA	NA	NA	STK17A	NA
NA	NA	NA	NA	LTV1	NOL7	BAZ1B	RB1	NA	NA	NA	CCDC86	NA
NA	NA	NA	NA	PEBP1	NOLC1	DYRK3	SLCO2B1	NA	NA	NA	PIN4	NA
NA	NA	NA	NA	SPCS2	NOP14	PTN	RAP2B	NA	NA	NA	SLC9B2	NA
NA	NA	NA	NA	TPST2	NOP16	LTBP4	RNF213	NA	NA	NA	MZT2A	NA
NA	NA	NA	NA	GNL1	NOP53	USP14	HERPUD1	NA	NA	NA	ARHGEF7	NA
NA	NA	NA	NA	TSHZ1	NOP56	RPL6	PLIN3	NA	NA	NA	STMN1	NA
NA	NA	NA	NA	CEP68	NOP58	ATF1	PTGS2	NA	NA	NA	IDS	NA
NA	NA	NA	NA	TNXB	NORAD	RNMT	DERL2	NA	NA	NA	CSRP2	NA
NA	NA	NA	NA	VIM	NPAS2	ATRAID	NME3	NA	NA	NA	TPM4	NA
NA	NA	NA	NA	HS3ST2	NPC1	HSPG2	FNBP4	NA	NA	NA	ZNF131	NA
NA	NA	NA	NA	SAA1	NPC2	STMP1	TIMM13	NA	NA	NA	COPS6	NA
NA	NA	NA	NA	YWHAH	NPDC1	AFG3L2	PHIP	NA	NA	NA	FAM107B	NA
NA	NA	NA	NA	SCARF1	NPM1	ERGIC3	SFT2D1	NA	NA	NA	ATRX	NA
NA	NA	NA	NA	MGAT2	NPNT	WDR82	RASSF2	NA	NA	NA	HEY2	NA
NA	NA	NA	NA	TMEM88	NPY1R	DNAJB11	OAS2	NA	NA	NA	COPB2	NA
NA	NA	NA	NA	MANF	NQO1	ANKRD28	FXYD3	NA	NA	NA	GRN	NA
NA	NA	NA	NA	BIRC6	NR2F2	RHOQ	SPCS1	NA	NA	NA	TLE4	NA
NA	NA	NA	NA	ITSN2	NR2F6	MFHAS1	TMEM205	NA	NA	NA	STMP1	NA
NA	NA	NA	NA	DICER1	NR3C1	RPS13	PKM	NA	NA	NA	TMEM14B	NA
NA	NA	NA	NA	RBM6	NR4A1	PGD	IL18	NA	NA	NA	MAP4	NA
NA	NA	NA	NA	GTF2B	NRBP1	JUNB	BMP2K	NA	NA	NA	CAMK2N1	NA
NA	NA	NA	NA	CHMP3	NRG1	RWDD1	CSRNP1	NA	NA	NA	TAPBP	NA
NA	NA	NA	NA	CLIC2	NRP2	ID2	AREG	NA	NA	NA	KCNQ1OT1	NA
NA	NA	NA	NA	PPP1CC	NSD3	DDX54	A2M	NA	NA	NA	ZBTB43	NA
NA	NA	NA	NA	ATG101	NSFL1C	PHF23	VPS28	NA	NA	NA	RPS6KA3	NA
NA	NA	NA	NA	BACH1	NSMCE1	SLC38A2	PLBD1	NA	NA	NA	SYAP1	NA
NA	NA	NA	NA	MT-ATP8	NSRP1	TIMM44	SSB	NA	NA	NA	RASL12	NA
NA	NA	NA	NA	CNOT9	NTHL1	UBE2V2	KRT18	NA	NA	NA	GTF2I	NA
NA	NA	NA	NA	PYCARD	NTMT1	RPL7	USP9X	NA	NA	NA	NRIP1	NA
NA	NA	NA	NA	CALM3	NTPCR	NBEAL1	DYNLRB1	NA	NA	NA	PRPF38A	NA
NA	NA	NA	NA	ENSA	NUBP2	AP2M1	DUT	NA	NA	NA	RSU1	NA
NA	NA	NA	NA	POLR3GL	NUCB1	MINOS1	PSMB6	NA	NA	NA	MMP14	NA
NA	NA	NA	NA	VEGFA	NUCB2	TRMT6	PGAM1	NA	NA	NA	HSPG2	NA
NA	NA	NA	NA	WDR74	NUCKS1	PODNL1	MCOLN2	NA	NA	NA	RIF1	NA
NA	NA	NA	NA	CLINT1	NUDC	SEPT9	MRPL14	NA	NA	NA	AAMP	NA
NA	NA	NA	NA	QKI	NUDCD1	TOR1AIP1	SNRPF	NA	NA	NA	POLD2	NA
NA	NA	NA	NA	PLEKHA3	NUDT1	UBE2J2	MBOAT7	NA	NA	NA	MANF	NA
NA	NA	NA	NA	POLR3D	NUDT14	GGNBP2	TRAPPC6A	NA	NA	NA	HMGN1	NA
NA	NA	NA	NA	CNPY2	NUDT16L1	A2M	VPS29	NA	NA	NA	CTSD	NA
NA	NA	NA	NA	ARID1A	NUDT2	TGFBI	FKBP1A	NA	NA	NA	TCEAL9	NA
NA	NA	NA	NA	RABGGTB	NUDT22	DAP3	DYNLT3	NA	NA	NA	MPG	NA
NA	NA	NA	NA	FAM84B	NUFIP2	ERP29	NKG7	NA	NA	NA	RPL10	NA
NA	NA	NA	NA	TRA2A	NUMA1	RDX	RPL17	NA	NA	NA	PLAUR	NA
NA	NA	NA	NA	MPRIP	NUP98	ARRDC3	DRAM1	NA	NA	NA	ZYX	NA
NA	NA	NA	NA	EFHD2	NUPR1	FIS1	SPEN	NA	NA	NA	ADM	NA
NA	NA	NA	NA	TIPRL	NUPR2	TPBG	SERINC5	NA	NA	NA	NDUFV2	NA
NA	NA	NA	NA	SOX4	NUS1	TANK	GSTM3	NA	NA	NA	PRR13	NA
NA	NA	NA	NA	PHF5A	NUTF2	PTGDS	CCT6A	NA	NA	NA	NDUFB6	NA
NA	NA	NA	NA	ATP8B1	NUTM2B-AS1	PET100	HLA-DOA	NA	NA	NA	PIN1	NA
NA	NA	NA	NA	CRTAP	NXT1	ATXN10	C20orf27	NA	NA	NA	CTSZ	NA
NA	NA	NA	NA	PIM3	OARD1	TIMM50	CBR1	NA	NA	NA	CLIP1	NA
NA	NA	NA	NA	TMEM170A	OCEL1	S100A4	WLS	NA	NA	NA	HAT1	NA
NA	NA	NA	NA	SARAF	OCIAD2	EEA1	COPE	NA	NA	NA	ODF3B	NA
NA	NA	NA	NA	RCL1	ODC1	CTSA	WASHC2A	NA	NA	NA	RPL29	NA
NA	NA	NA	NA	CYC1	OFD1	PSPC1	NCL	NA	NA	NA	RCC1	NA
NA	NA	NA	NA	NTMT1	OGFRL1	MEIS2	TPP1	NA	NA	NA	BCL6	NA
NA	NA	NA	NA	MDM4	OGT	TMX2	TMCO1	NA	NA	NA	ID1	NA
NA	NA	NA	NA	DUSP5	OLA1	ISCA1	AP1S2	NA	NA	NA	DNAJC19	NA
NA	NA	NA	NA	TIMM10	OPTN	IER2	RMDN3	NA	NA	NA	MYCBP2	NA
NA	NA	NA	NA	PPP1R2	ORAI3	PPP1CB	TMED10	NA	NA	NA	SDHC	NA
NA	NA	NA	NA	SLC25A32	ORMDL2	TRPS1	LTA4H	NA	NA	NA	CSTB	NA
