B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	NK	NKT	Pericyte	Plasma
TMA7	PAIP2	NA	NA	ADAMTS4	ATP5MC1	CCT2	ARL8B	NA	NA	NA	DNAJB9	DNAJC3
CCT7	ATP5MG	NA	NA	CDH5	ATP5MC2	CCT3	SLC36A4	NA	NA	NA	EIF3I	RAB5B
NUDC	SLC38A1	NA	NA	UTRN	ATP5MC3	CCT4	ZFYVE16	NA	NA	NA	GCLM	PTP4A1
MEF2C	RPL37A	NA	NA	CCT5	ATP5ME	CCT5	DUSP4	NA	NA	NA	PSMD12	PRELID3B
CD58	TMBIM6	NA	NA	VCP	ATP5MF	CCT6A	HIVEP2	NA	NA	NA	MCL1	BTG1
PAK2	STK4	NA	NA	SRSF2	ATP5MG	CCT7	NDUFB2	NA	NA	NA	NCL	DIAPH1
TALDO1	TNFRSF18	NA	NA	ARGLU1	ATP5MPL	CCT8	CALM2	NA	NA	NA	CCT2	CFLAR
IMPDH2	PERP	NA	NA	MT-CO2	ATP5PD	CD151	MIR22HG	NA	NA	NA	YWHAE	UBL3
TNFRSF18	SF1	NA	NA	COX7C	ATP5PF	CD44	OGFRL1	NA	NA	NA	TMBIM6	PRDX4
TAX1BP1	SETD2	NA	NA	EDNRB	ATP5PO	CD55	ARHGDIB	NA	NA	NA	GSN	RHEB
SRSF10	GZMA	NA	NA	IER3	ATP6AP1	CD59	PIK3R5	NA	NA	NA	CHD1	ABHD5
YWHAB	UQCRB	NA	NA	CDC42EP2	ATP6AP2	CD63	PTMA	NA	NA	NA	HNRNPC	TARDBP
CIRBP	UQCR11	NA	NA	SPHK1	ATP6V0E2	CD74	RNASET2	NA	NA	NA	EIF1AX	MIR22HG
SRSF7	EIF5B	NA	NA	RSL1D1	ATP6V1B2	CD9	MIR3945HG	NA	NA	NA	SRSF7	EIF4E
SPAG7	C9orf16	NA	NA	PRNP	ATP6V1D	CD99	EHD1	NA	NA	NA	CD151	CHAC1
CCT3	PTGER4	NA	NA	EIF5A	ATP6V1F	CDC37	BIRC3	NA	NA	NA	MIR4435-2HG	SPATS2L
RHOG	PBX4	NA	NA	NOP58	ATP6V1H	CDH11	CLDND1	NA	NA	NA	PEA15	BCAR3
UPF3B	PRF1	NA	NA	TCP1	ATRAID	CDK4	UQCR11	NA	NA	NA	H3F3A	PPP3CC
ARPP19	BZW1	NA	NA	GNAI2	AUP1	CDKN1A	RPL12	NA	NA	NA	PTP4A1	EDEM1
ARHGDIA	CD2	NA	NA	RBM8A	AUTS2	CDV3	NEAT1	NA	NA	NA	IL1RL1	FOSB
FKBP1A	GYPC	NA	NA	ADAM15	AXL	CEBPB	GCHFR	NA	NA	NA	FGFR1	DYNLT1
HNRNPK	TNFAIP3	NA	NA	NFIA	B4GALT1	CEBPD	LPXN	NA	NA	NA	RBM8A	RSRP1
RPS19BP1	NDUFA4	NA	NA	PALMD	BACE2	CEBPG	DUSP5	NA	NA	NA	PGF	IGKC
PAIP2	APBA2	NA	NA	HLA-DRA	BACH1	CEBPZ	TLNRD1	NA	NA	NA	PTPN1	SKIL
ATP5MC3	COX6C	NA	NA	PSAP	BAD	CERCAM	EPB41L3	NA	NA	NA	ACTG1	HBP1
ATP5MD	DNPH1	NA	NA	PTPRB	BAG1	CFD	USP12	NA	NA	NA	CIRBP	RSL24D1
BRD2	CCL5	NA	NA	ENG	BAG3	CFL1	TNIP1	NA	NA	NA	ATP5ME	ATP5F1E
ARID5B	COX7C	NA	NA	APLNR	BAMBI	CFLAR	GPR132	NA	NA	NA	NR2F2	BASP1
