B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Monocyte	NK	NKT	Pericyte	Plasma
NA	NA	NA	NA	NA	PTPN22	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KIFC1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RBL2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPSA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CTNNB1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TSEN54	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ALDH1B1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CENPK	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TACC3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ACSM2A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATP5L	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CIDEB	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PECR	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EZH2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PARVG	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCDC69	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CTB-43E15.4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HERC2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PTPRE	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD160	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATP6V1B2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BTG3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TNC	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GTF3C5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HGF	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RILPL2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DCAF13	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NAV2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CYB561D2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SKP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS8	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAM3B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS18	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C1orf21	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TCF7L1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZNF503	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UBL5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LTBP2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C11orf96	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FGL1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMEM176A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HMGA1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NCAPH	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARMC6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PBK	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PROC	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HIST1H2BC	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANPEP	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	VAMP8	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TYROBP	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HENMT1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DENND1C	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SFRP5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSPA6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC22A1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL36	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDKN1B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCNB2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	INSIG1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C17orf49	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	THEMIS	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EGLN3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARID5B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDKN2C	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CENPW	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	P2RX5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TPM4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CRABP2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HCAR2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KLF2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HOMER2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MRPL39	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ALDH8A1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CAMK4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RP11-291B21.2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NDUFAF1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLAMF7	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PGM2L1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PSAT1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAM118A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CENPN	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CYP1B1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TSC22D3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS27L	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CXCL17	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CMTM3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	S100A1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PDE4B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RRAD	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FCGR3A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CALM2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ITIH5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FASLG	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CYP2C8	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	STK38L	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RARRES1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PDZK1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	H3F3C	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDH11	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DBF4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MPC2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	STX11	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IGF2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LIG1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HBB	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NDUFB9	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GLYCTK	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ITGAL	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAM65B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	WWP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GADD45B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BDH2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BCAT1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IL7R	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	VPS28	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CLYBL	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IFNGR1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RAB8B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD83	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CYBA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANKRD37	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DPYSL3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATF7IP	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TNFSF10	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GBP5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LY9	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NDC80	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PIM2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD28	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	G0S2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CSPP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RANGRF	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLA2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DNAJA1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	A1BG	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NPW	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BHMT2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ASMTL	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TOP2A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KIF12	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATP6V0E2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRKACB	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IL2RB	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS27A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDK6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FCER1G	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS7	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FGR	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KIF20B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CRYAB	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DSEL	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FRMD4A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TAP2.1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NES	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DOCK2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KIF2C	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PDGFD	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	OCIAD2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GPR183	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARHGAP25	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KCNAB2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC1A3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDC20	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	APOBEC3B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ITGA4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL36A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMEM2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	JAG2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	METRN	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GADD45G	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GTF2H2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FABP5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SERPINA4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	VDAC2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SATB1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SYTL3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MMP2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL27A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GNG11	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FMNL1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CNOT6L	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC17A4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	S1PR5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RASSF1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DUSP4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LBH	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TRAM1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BDH1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FCN3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UBE2T	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DZIP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDCA8	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MGP	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AGMAT	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PTN	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COL4A1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	XCL2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DEPDC1B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	VTN	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MAPRE2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RACGAP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CTSC	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CXCR6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GAPDH	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EEF1B2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NR0B2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EIF3D	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARL4C	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RP11-94L15.2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CLSPN	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TYMS	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BCL11B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SNX10	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RNF125	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RP11-462L8.1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AXL	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL12	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RIMKLB	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ICAM1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FSTL1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GCH1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATF7IP2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ALDOA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RP1-60O19.1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZFP36	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ACSM3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DLGAP5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ACP5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANKH	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SGOL2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CENPU	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAM105A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDKN3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MT2A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UQCRQ	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AMICA1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TCEB2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRDM1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LGALS2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PIGR	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NR1H4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	JUN	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TAGLN	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARHGAP4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BGN	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C16orf54	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CLVS1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	OASL	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KRT14	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CYP2C9	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CENPA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COL1A2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARSE	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CXCL14	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CNTRL	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RAD51AP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LYPD6B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IFITM1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NFKBIA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZEB2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	THOP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PIK3C2G	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C14orf105	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS23	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BICC1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC25A20	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ITPR2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SAT1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LAG3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANKRD44	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DUSP2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C1orf56	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANXA1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CRTAM	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CENPE	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IGFBP2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GTSE1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCL20	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RP11-51J9.5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IFI6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TNFRSF25	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GK	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MZB1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS14	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MUC5AC	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CLDN11	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C20orf24	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PTGS2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CST4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EIF3E	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PTTG1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SERPINB1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	APOM	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL38	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMEM176B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CYFIP2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SPINK1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CYC1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SCGB3A1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HLA-DMB	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LYZ	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCNB1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ASPM	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPLP0	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TPX2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BCL2A1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GBP4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AURKA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL13A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FOS	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DCDC2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL15	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GMNN	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FTH1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TALDO1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RP11-347P5.1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	S100A8	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HLA-DMA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ASGR2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LY6E	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CTSS	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TNFSF13B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS10	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PMAIP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL34	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDKN2A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RGS5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COX6C	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	OAZ1	NA	NA	NA	NA	NA	NA	NA
